epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47766,1.28565,2.7761,3.24714,1.30428,0.59033,0.1875,0.16574,0.09744,0.63569,0.1875,0.17716,0.09979,1.03637,2.10507,3.03583,1.16942,2e-05,2e-05,2e-05
2,2.96357,1.51419,2.41079,3.45753,1.34715,0.44567,0.1875,0.18871,0.10291,0.44567,0.1875,0.19467,0.11364,1.03444,2.10384,2.97663,1.15107,5.9802e-05,5.9802e-05,5.9802e-05
3,3.49429,1.63802,3.26465,4.43536,1.58007,0.51977,0.23728,0.21337,0.10596,0.51977,0.23728,0.21278,0.11338,1.04799,2.12349,2.92678,1.15446,9.934e-05,9.934e-05,9.934e-05
4,3.98637,1.44769,3.86582,3.40569,1.41652,0.44729,0.25,0.17338,0.09333,0.44729,0.25,0.17252,0.10413,1.06489,2.14628,2.8695,1.16591,0.000138614,0.000138614,0.000138614
5,4.57321,1.55349,3.0035,3.09761,1.40763,0.35105,0.30451,0.27497,0.18391,0.37174,0.3144,0.29238,0.1798,0.96691,2.08221,3.62788,1.15827,0.000177624,0.000177624,0.000177624
6,5.50991,1.22536,2.33481,5.63042,1.2034,0.35105,0.30451,0.27497,0.18391,0.37174,0.3144,0.29238,0.1798,0.96691,2.08221,3.62788,1.15827,0.00021637,0.00021637,0.00021637
7,6.48987,1.11315,2.18921,4.49281,1.12018,0.3991,0.40625,0.32851,0.20788,0.43252,0.4375,0.34234,0.2086,0.98515,2.08153,3.55914,1.1559,0.000254852,0.000254852,0.000254852
8,7.49953,1.15097,2.18441,3.13029,1.17562,0.03514,0.40625,0.02873,0.01539,0.05721,0.40625,0.04407,0.02392,1.03483,1.9781,6.22573,1.11893,0.00029307,0.00029307,0.00029307
9,8.25905,1.28903,2.22311,3.13062,1.21148,0.03514,0.40625,0.02873,0.01539,0.05721,0.40625,0.04407,0.02392,1.03483,1.9781,6.22573,1.11893,0.000331024,0.000331024,0.000331024
10,9.01652,1.28244,2.21407,2.97112,1.20306,0.61171,0.5625,0.53897,0.35824,0.57772,0.53125,0.49081,0.37157,1.07653,1.74031,3.69718,1.01511,0.000368714,0.000368714,0.000368714
11,9.95687,1.23319,2.36657,1.83425,1.1424,0.61171,0.5625,0.53897,0.35824,0.57772,0.53125,0.49081,0.37157,1.07653,1.74031,3.69718,1.01511,0.00040614,0.00040614,0.00040614
12,10.8932,1.22461,2.01858,1.90657,1.02296,0.67675,0.8125,0.73891,0.48886,0.6857,0.8125,0.72022,0.45596,1.15656,2.02301,5.31315,1.04043,0.000443302,0.000443302,0.000443302
13,11.8384,1.26444,2.26519,2.10952,1.14786,0.67675,0.8125,0.73891,0.48886,0.6857,0.8125,0.72022,0.45596,1.15656,2.02301,5.31315,1.04043,0.0004802,0.0004802,0.0004802
14,12.7781,1.00624,1.53431,1.89281,1.00026,0.67675,0.8125,0.73891,0.48886,0.6857,0.8125,0.72022,0.45596,1.15656,2.02301,5.31315,1.04043,0.000516834,0.000516834,0.000516834
15,13.783,1.0805,1.60197,2.33383,1.00534,0.7,0.21875,0.2591,0.19618,0.7,0.21875,0.26012,0.19083,0.9455,2.34263,48.2911,0.97048,0.000553204,0.000553204,0.000553204
16,14.5539,1.11948,1.74884,2.09215,1.06801,0.7,0.21875,0.2591,0.19618,0.7,0.21875,0.26012,0.19083,0.9455,2.34263,48.2911,0.97048,0.00058931,0.00058931,0.00058931
17,15.2982,1.15766,1.69689,1.96597,1.01622,0.7,0.21875,0.2591,0.19618,0.7,0.21875,0.26012,0.19083,0.9455,2.34263,48.2911,0.97048,0.000625152,0.000625152,0.000625152
18,16.053,1.05379,1.61831,2.15837,1.10374,0.61538,0.25,0.37672,0.30126,0.61538,0.25,0.3792,0.29281,0.80554,1.58289,8.51936,0.97868,0.00066073,0.00066073,0.00066073
19,16.7989,1.06234,1.89283,2.12546,1.10028,0.61538,0.25,0.37672,0.30126,0.61538,0.25,0.3792,0.29281,0.80554,1.58289,8.51936,0.97868,0.000696044,0.000696044,0.000696044
20,17.5417,1.03288,1.987,1.9723,1.06643,0.61538,0.25,0.37672,0.30126,0.61538,0.25,0.3792,0.29281,0.80554,1.58289,8.51936,0.97868,0.000731094,0.000731094,0.000731094
21,18.3528,1.02991,1.6786,1.72873,1.02987,0.12542,0.6875,0.13837,0.10514,0.115,0.63755,0.12985,0.08325,1.09977,2.7645,19.6156,1.13252,0.00076588,0.00076588,0.00076588
22,19.097,1.18874,1.89924,1.74855,1.09506,0.12542,0.6875,0.13837,0.10514,0.115,0.63755,0.12985,0.08325,1.09977,2.7645,19.6156,1.13252,0.000800402,0.000800402,0.000800402
23,19.8278,1.15729,1.92178,2.07207,1.0426,0.12542,0.6875,0.13837,0.10514,0.115,0.63755,0.12985,0.08325,1.09977,2.7645,19.6156,1.13252,0.00083466,0.00083466,0.00083466
24,20.5562,0.96637,1.71649,1.57043,1.09611,0.12542,0.6875,0.13837,0.10514,0.115,0.63755,0.12985,0.08325,1.09977,2.7645,19.6156,1.13252,0.000868654,0.000868654,0.000868654
25,21.3039,1.23639,2.45121,1.68295,1.23886,0.0625,0.4375,0.07235,0.0453,0.0625,0.4375,0.07015,0.04681,1.457,2.21227,44.2287,1.36738,0.000902384,0.000902384,0.000902384
26,22.1522,1.53273,2.1352,1.70414,1.22429,0.0625,0.4375,0.07235,0.0453,0.0625,0.4375,0.07015,0.04681,1.457,2.21227,44.2287,1.36738,0.00093585,0.00093585,0.00093585
